Date of Sale (dd/mm/yyyy),Count of sale on that date,Average value of sales on that date
2011-01-02,1,230000.0
2011-01-03,3,315333.3333333333
2011-01-04,1,275000.0
2011-01-07,2,297750.0
2011-01-11,1,108000.0
2011-01-12,2,142000.0
2011-01-17,3,341666.6666666667
2011-01-18,1,300000.0
2011-01-19,4,186580.3975
2011-01-20,1,260000.0
2011-01-21,2,398500.0
2011-01-24,1,110000.0
2011-01-25,1,210000.0
2011-01-26,1,180000.0
2011-01-27,3,316075.0
2011-01-28,2,550000.0
2011-01-31,1,140000.0
2011-02-03,2,312500.0
2011-02-06,1,150000.0
2011-02-08,1,420000.0
2011-02-09,2,455000.0
2011-02-12,4,213750.0
2011-02-15,1,190000.0
2011-02-18,2,371250.0
2011-02-21,2,337000.0
2011-02-22,3,167666.66666666666
2011-02-23,1,270000.0
2011-02-24,2,233250.0
2011-02-25,2,330000.0
2011-02-28,2,225801.0
2011-03-03,1,458000.0
2011-03-05,1,142000.0
2011-03-08,3,243333.33333333334
2011-03-10,1,270000.0
2011-03-14,3,156333.33333333334
2011-03-15,2,259050.0
2011-03-16,3,291649.7766666667
2011-03-18,1,480000.0
2011-03-21,1,175000.0
2011-03-23,1,200000.0
2011-03-24,1,109600.0
2011-03-25,1,445000.0
2011-03-28,2,188000.0
2011-03-29,1,245000.0
2011-03-30,2,403500.0
2011-03-31,2,212500.0
2011-04-01,1,290500.0
2011-04-02,2,180000.0
2011-04-03,1,193000.0
2011-04-04,1,340000.0
2011-04-05,2,167500.0
2011-04-08,1,237500.0
2011-04-11,4,432500.0
2011-04-14,1,195000.0
2011-04-18,1,165000.0
2011-04-20,3,310308.3333333333
2011-04-21,4,150629.95500000002
2011-04-27,1,165000.0
2011-04-28,2,330000.0
2011-05-01,3,228333.33333333334
2011-05-04,3,225666.66666666666
2011-05-07,1,145000.0
2011-05-08,2,442500.0
2011-05-09,1,270000.0
2011-05-10,4,213625.0
2011-05-13,1,220000.0
2011-05-16,1,440000.0
2011-05-17,1,330000.0
2011-05-20,3,158333.33333333334
2011-05-23,2,463750.0
2011-05-24,2,470000.0
2011-05-25,2,115500.0
2011-05-26,1,338000.0
2011-05-31,3,204449.33333333334
2011-06-01,1,180000.0
2011-06-05,1,400000.0
2011-06-07,1,357000.0
2011-06-09,1,250000.0
2011-06-10,2,400000.0
2011-06-12,2,170000.0
2011-06-16,1,170000.0
2011-06-17,3,206333.33333333334
2011-06-23,1,277500.0
2011-06-24,1,583000.0
2011-06-27,1,319500.0
2011-06-28,1,770000.0
2011-06-29,2,200000.0
2011-06-30,1,361233.48
2011-07-01,4,275500.0
2011-07-02,1,157500.0
2011-07-04,3,293333.3333333333
2011-07-07,1,600000.0
2011-07-10,1,156950.0
2011-07-12,2,475000.0
2011-07-13,1,200000.0
2011-07-14,3,230000.0
2011-07-15,3,318166.6666666667
2011-07-18,3,356583.3333333333
2011-07-19,2,410500.0
2011-07-20,3,202166.66666666666
2011-07-21,1,200000.0
2011-07-22,3,230000.0
2011-07-25,2,344000.0
2011-07-26,2,200440.5
2011-07-29,4,253480.0
2011-08-02,1,128546.25
2011-08-03,4,163843.75
2011-08-06,1,630000.0
2011-08-07,2,223000.0
2011-08-08,1,307250.0
2011-08-09,2,221500.0
2011-08-11,2,148500.0
2011-08-15,1,411500.0
2011-08-16,1,740000.0
2011-08-17,2,290000.0
2011-08-18,2,237500.0
2011-08-19,5,377400.0
2011-08-22,1,110000.0
2011-08-24,1,230000.0
2011-08-25,1,270000.0
2011-08-29,3,407500.0
2011-08-30,1,204000.0
2011-08-31,1,198000.0
2011-09-02,2,257092.51
2011-09-05,1,336000.0
2011-09-06,1,407500.0
2011-09-08,1,220000.0
2011-09-09,4,318625.0
2011-09-11,4,252000.0
2011-09-12,4,238250.0
2011-09-13,1,307000.0
2011-09-14,4,181456.25
2011-09-15,2,188000.0
2011-09-16,5,316520.0
2011-09-19,2,287750.0
2011-09-20,1,102202.62
2011-09-21,1,344400.0
2011-09-22,2,262500.0
2011-09-23,2,232500.0
2011-09-26,2,260843.09
2011-09-27,1,230000.0
2011-09-29,1,230000.0
