Date of Sale (dd/mm/yyyy),Address Line 1,Address Line 2,County,Postal Code,Dub_Code,Price (Eur),Not Full Market Price,VAT Exclusive,Description of Property,Year
2011-04-01,Apartment 24 Baltrasna House," Spencer Dock, North Wall Quay",Dublin,Dublin 1,1,290500.0,No,No,Second-Hand Dwelling house /Apartment,2011
2011-05-01,13 Linenhall Terrace, Broadstone,Dublin,Dublin 7,7,290000.0,No,No,Second-Hand Dwelling house /Apartment,2011
2011-05-01,282 Clonard Road, Crumlin,Dublin,Dublin 12,12,170000.0,No,No,Second-Hand Dwelling house /Apartment,2011
2011-05-01,73 St Jarlath Road, Cabra,Dublin,Dublin 7,7,225000.0,No,No,Second-Hand Dwelling house /Apartment,2011
2011-06-01,35 Trinity Square, Townsend Street,Dublin,Dublin 2,2,180000.0,No,No,Second-Hand Dwelling house /Apartment,2011
2011-07-01,2 Woodstown Way, Knocklyon,Dublin,Dublin 16,16,325000.0,No,No,Second-Hand Dwelling house /Apartment,2011
2011-07-01,36 Old County Road, Crumlin,Dublin,Dublin 12,12,270000.0,No,No,Second-Hand Dwelling house /Apartment,2011
2011-07-01,61 Walkinstown Park, Walkinstown,Dublin,Dublin 12,12,210000.0,No,No,Second-Hand Dwelling house /Apartment,2011
2011-07-01,64 East Priory," Navan Road, Dublin 7",Dublin,Dublin 7,7,297000.0,No,No,Second-Hand Dwelling house /Apartment,2011
2011-11-01,17 Fitzgearld Street," Harolds Cross, Dublin 8",Dublin,Dublin 8,8,217000.0,No,No,Second-Hand Dwelling house /Apartment,2011
2011-11-01,82 east road," east wall, dublin 3",Dublin,Dublin 3,3,165000.0,No,No,Second-Hand Dwelling house /Apartment,2011
2011-01-17,14 St. Fintan's Road, Sutton,Dublin,Dublin 13,13,560000.0,No,No,Second-Hand Dwelling house /Apartment,2011
2011-01-17,29 Sorrel Dale," Clonsilla, Dublin 15",Dublin,Dublin 15,15,300000.0,No,No,Second-Hand Dwelling house /Apartment,2011
2011-01-17,Apartment 10," Verdemont, Blanchardstown",Dublin,Dublin 15,15,165000.0,No,No,Second-Hand Dwelling house /Apartment,2011
