Geo,Price_Index,Year,Quarter
AT,74.05,2010,Q1
AT,76.54,2010,Q2
AT,78.16,2010,Q3
AT,78.44,2010,Q4
AT,79.01,2011,Q1
AT,81.05,2011,Q2
AT,82.83,2011,Q3
AT,83.5,2011,Q4
AT,85.5,2012,Q1
AT,86.75,2012,Q2
AT,89.14,2012,Q3
AT,88.89,2012,Q4
AT,90.37,2013,Q1
AT,91.74,2013,Q2
AT,94.48,2013,Q3
AT,91.81,2013,Q4
AT,94.32,2014,Q1
AT,95.83,2014,Q2
AT,95.14,2014,Q3
AT,96.03,2014,Q4
AT,93.88,2015,Q1
AT,99.89,2015,Q2
AT,104.01,2015,Q3
AT,102.22,2015,Q4
AT,106.48,2016,Q1
AT,108.87,2016,Q2
AT,109.43,2016,Q3
AT,109.35,2016,Q4
AT,111.54,2017,Q1
AT,114.24,2017,Q2
AT,114.75,2017,Q3
AT,116.51,2017,Q4
AT,117.5,2018,Q1
AT,118.51,2018,Q2
AT,120.37,2018,Q3
AT,122.18,2018,Q4
AT,122.38,2019,Q1
AT,126.4,2019,Q2
AT,127.81,2019,Q3
AT,129.81,2019,Q4
AT,131.85,2020,Q1
AT,135.02,2020,Q2
AT,138.71,2020,Q3
AT,139.66,2020,Q4
AT,144.7,2021,Q1
AT,150.95,2021,Q2
AT,156.26,2021,Q3
AT,161.14,2021,Q4
AT,165.94,2022,Q1
AT,169.47,2022,Q2
AT,174.91,2022,Q3
AT,173.86,2022,Q4
BE,69.68,2005,Q1
BE,71.24,2005,Q2
BE,73.78,2005,Q3
BE,75.24,2005,Q4
BE,76.7,2006,Q1
BE,78.79,2006,Q2
BE,81.07,2006,Q3
BE,81.69,2006,Q4
BE,83.62,2007,Q1
BE,85.28,2007,Q2
BE,86.9,2007,Q3
BE,87.24,2007,Q4
BE,88.09,2008,Q1
BE,89.34,2008,Q2
BE,90.62,2008,Q3
BE,90.12,2008,Q4
BE,88.95,2009,Q1
BE,88.09,2009,Q2
